"nerprun","pres","x","y"
"absence",0,124484.079861002,549129.99027376
"absence",0,124488.570749533,549129.541541052
"absence",0,124446.347718824,549083.650631655
"absence",0,125614.629158429,549258.805853138
"absence",0,126085.8278876,549623.777608134
"absence",0,126089.851657647,549628.303146511
"absence",0,126093.682608391,549635.776209607
"absence",0,126097.697138543,549643.54558721
"absence",0,138065.529209934,563468.120152457
"absence",0,138069.313296444,563475.051983994
"absence",0,138070.590798023,563496.14295789
"absence",0,138068.203092696,563508.441016454
"absence",0,138082.89670741,563535.029832986
"absence",0,138103.754002994,563585.213656899
"absence",0,140664.028764604,559981.821803483
"absence",0,140669.799916822,559981.06291397
"absence",0,140706.434031583,559972.224286271
"absence",0,140721.773393966,559978.069244336
"absence",0,140746.234124226,559991.333163431
"absence",0,140735.63058696,559905.48128069
"absence",0,140769.63437674,559818.047196419
"absence",0,140755.097581536,559808.69884831
"absence",0,140726.711832611,559804.525698905
"absence",0,140859.33076203,559105.267521183
"absence",0,140770.024115982,558870.788614151
"absence",0,140809.64074649,558803.028044303
"absence",0,140827.703567634,558833.305135838
"absence",0,140823.235971767,558831.721410356
"absence",0,140816.305542862,558832.979714097
"absence",0,127687.578444123,536876.758735618
"absence",0,128478.620906617,535733.151660363
"absence",0,128361.361982887,535580.838251097
"absence",0,128305.821029172,535572.477825705
"absence",0,128456.779744618,535645.230270296
"absence",0,137077.509099584,531111.427810945
"absence",0,137080.96434146,531108.143682883
"absence",0,137088.66786895,531100.703027555
"absence",0,137104.532044733,531085.767631611
"absence",0,137133.116066525,531039.913205011
"absence",0,137135.943158759,531035.06198875
"absence",0,139540.113980892,533428.387008453
"absence",0,139184.481373663,531435.694677653
"absence",0,139184.568123526,531409.489973053
"absence",0,139208.386732252,531403.848424202
"absence",0,139150.752525114,531309.299558128
"absence",0,139106.705841781,531241.211727933
"absence",0,117300.890622273,545242.622010691
"absence",0,117342.827931815,545171.487676271
"absence",0,117352.423189791,545138.049856171
"absence",0,117353.468911507,545131.742463292
"absence",0,117238.633637003,545092.66946279
"absence",0,117127.957307031,545081.506324827
"absence",0,117092.796965645,545134.012811419
"absence",0,117023.537378971,545115.380841655
"absence",0,116832.419363505,545089.116476938
"absence",0,116849.832750712,545122.597393277
"absence",0,116845.653641792,545127.612079807
"absence",0,116841.706003841,545146.702092732
"absence",0,116826.034557749,545160.035721621
"absence",0,116775.527102309,545106.648159304
"absence",0,116769.134615959,545103.388619373
"absence",0,116611.129670693,545003.141081759
"absence",0,116584.151819547,545498.851005928
"absence",0,116444.224212434,545637.246117981
"absence",0,116548.513745075,545737.401632892
"absence",0,116772.264216648,545821.972023988
"absence",0,116927.910504457,546055.952505201
"absence",0,117044.769572176,546013.104205675
"absence",0,117100.935973266,546116.1344658
"absence",0,117266.547143006,546249.339972937
"absence",0,117245.50479919,546284.12016859
"absence",0,117360.526322012,546300.354850702
"absence",0,117365.897725126,546296.292288058
"absence",0,117399.46478904,546221.424313418
"absence",0,117401.525189729,546208.770461532
"absence",0,117224.45244396,546201.009484313
"absence",0,117227.594228726,546195.871235112
"absence",0,117227.388457974,546183.934911105
"absence",0,117752.097490212,546297.584040645
"absence",0,117915.264316328,546861.074126034
"absence",0,117853.144605097,546816.806288595
"absence",0,117834.119327608,546766.600727676
"absence",0,117836.121909499,546762.217659251
"absence",0,117817.093384467,546752.19988839
"absence",0,117966.737302082,546973.754996437
"absence",0,117919.072214004,547061.036947016
"absence",0,117903.48398742,547055.123406428
"absence",0,117816.001742307,547096.835608864
"absence",0,117695.296529504,547074.88241955
"absence",0,117949.10970837,547019.101112187
"absence",0,117959.274273161,547020.540242642
"absence",0,117964.483951067,547031.130851701
"absence",0,117979.871319397,547044.93782112
"absence",0,117991.881734811,547044.229430392
"absence",0,118017.636143983,547054.214391069
"absence",0,133863.54350877,567990.909177396
"absence",0,133857.212507129,567902.745663411
"absence",0,133840.626350561,567902.318579154
"absence",0,133881.974438732,567849.144036935
"absence",0,133889.862951614,567829.79153092
"absence",0,-279145.525700003,320916.340500001
"absence",0,128541.6395,502965.0277
"absence",0,128673.158500001,502847.180599999
"absence",0,128404.5678,503205.1318
"absence",0,-757412.670500003,345310.2535
"absence",0,-757811.630400002,346004.123
"absence",0,-357239.616899997,322286.827799998
"absence",0,-181658.871099986,154771.795500007
"absence",0,-181458.871099986,154771.795500007
"absence",0,-181858.871099986,154871.795500007
"absence",0,-181558.871099986,154871.795500007
"absence",0,-181358.871099986,154871.795500007
"absence",0,-181158.871099986,154871.795500007
"absence",0,-181758.871099986,154971.795500007
"absence",0,-181458.871099986,154971.795500007
"absence",0,-181258.871099986,154971.795500007
"absence",0,-181058.871099986,154971.795500007
"absence",0,-181858.871099986,155071.795500007
"absence",0,-181658.871099986,155071.795500007
"absence",0,-181358.871099986,155071.795500007
"absence",0,-181158.871099986,155071.795500007
"absence",0,-181758.871099986,155171.795500007
"absence",0,-181558.871099986,155171.795500007
"absence",0,-181258.871099986,155171.795500007
"absence",0,-599482.759999998,231750.059999999
"absence",0,-599382.759999998,231850.059999999
"absence",0,-599482.759999998,231950.059999999
"absence",0,-599282.759999998,231950.059999999
"absence",0,-599382.759999998,232050.059999999
"absence",0,-599182.759999998,232050.059999999
"absence",0,-599282.759999998,232150.059999999
"absence",0,-599082.759999998,232150.059999999
"absence",0,-599082.759999998,232350.059999999
"absence",0,-598882.759999998,232550.059999999
"absence",0,-599630.299999997,232359.990000002
"absence",0,-599630.299999997,232559.990000002
"absence",0,-599330.299999997,232559.990000002
"absence",0,-599130.299999997,232559.990000002
"absence",0,-599530.299999997,232659.990000002
"absence",0,-599230.299999997,232659.990000002
"absence",0,-599430.299999997,232759.990000002
"absence",0,-599330.299999997,232859.990000002
"absence",0,-599430.299999997,232959.990000002
"absence",0,-599201.109999999,233137.540000003
"absence",0,-599001.109999999,233137.540000003
"absence",0,-598901.109999999,233237.540000003
"absence",0,-599101.109999999,233337.540000003
"absence",0,-598801.109999999,233337.540000003
"absence",0,-599101.109999999,233537.540000003
"absence",0,-600315.559999987,233102.689999998
"absence",0,-600415.559999987,233202.689999998
"absence",0,-600915.559999987,233302.689999998
"absence",0,-600615.559999987,233302.689999998
"absence",0,-600315.559999987,233302.689999998
"absence",0,-600815.559999987,233402.689999998
"absence",0,-600515.559999987,233402.689999998
"absence",0,-600915.559999987,233502.689999998
"absence",0,-600715.559999987,233502.689999998
"absence",0,-600415.559999987,233502.689999998
"absence",0,-600215.559999987,233502.689999998
"absence",0,-600015.559999987,233502.689999998
"absence",0,-600515.559999987,233602.689999998
"absence",0,-600315.559999987,233602.689999998
"absence",0,-599915.559999987,233602.689999998
"absence",0,-600415.559999987,233702.689999998
"absence",0,-600215.559999987,233702.689999998
"absence",0,-600115.559999987,233802.689999998
"absence",0,-600215.559999987,233902.689999998
"absence",0,-600742.159999989,234589.690000005
"absence",0,-600842.159999989,234689.690000005
"absence",0,-601042.159999989,234789.690000005
"absence",0,-600942.159999989,234889.690000005
"absence",0,-600742.159999989,234889.690000005
"absence",0,-601042.159999989,234989.690000005
"absence",0,-600842.159999989,234989.690000005
